"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"d:\Class\1651\1651Assignment\1651Assignment.csproj", "XML", 0, 9, 0, 0, 0, 3, 12
"d:\Class\1651\1651Assignment\Program.cs", "C#", 49, 0, 0, 0, 12, 4, 65
"d:\Class\1651\1651Assignment\bin\Debug\net6.0\1651Assignment.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"d:\Class\1651\1651Assignment\bin\Debug\net6.0\1651Assignment.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"d:\Class\1651\1651Assignment\controller\AdminFuncs.cs", "C#", 11, 0, 0, 0, 1, 2, 14
"d:\Class\1651\1651Assignment\controller\MiscFuncs.cs", "C#", 20, 0, 0, 0, 1, 1, 22
"d:\Class\1651\1651Assignment\controller\UserFunc.cs", "C#", 48, 0, 0, 0, 7, 4, 59
"d:\Class\1651\1651Assignment\model\Admin.cs", "C#", 13, 0, 0, 0, 0, 3, 16
"d:\Class\1651\1651Assignment\model\ChatOne.cs", "C#", 96, 0, 0, 0, 16, 18, 130
"d:\Class\1651\1651Assignment\model\ChatRoom.cs", "C#", 168, 0, 0, 0, 18, 26, 212
"d:\Class\1651\1651Assignment\model\Message.cs", "C#", 25, 0, 0, 0, 1, 3, 29
"d:\Class\1651\1651Assignment\model\User.cs", "C#", 131, 0, 0, 0, 9, 17, 157
"d:\Class\1651\1651Assignment\model\chatMediator.cs", "C#", 16, 0, 0, 0, 0, 3, 19
"d:\Class\1651\1651Assignment\obj\1651Assignment.csproj.nuget.dgspec.json", "JSON", 0, 0, 61, 0, 0, 0, 61
"d:\Class\1651\1651Assignment\obj\1651Assignment.csproj.nuget.g.props", "XML", 0, 15, 0, 0, 0, 0, 15
"d:\Class\1651\1651Assignment\obj\1651Assignment.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 2
"d:\Class\1651\1651Assignment\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\Class\1651\1651Assignment\obj\Debug\net6.0\1651Assignment.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"d:\Class\1651\1651Assignment\obj\Debug\net6.0\1651Assignment.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 11, 0, 1, 12
"d:\Class\1651\1651Assignment\obj\Debug\net6.0\1651Assignment.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\Class\1651\1651Assignment\obj\project.assets.json", "JSON", 0, 0, 66, 0, 0, 0, 66
"Total", "-", 596, 26, 159, 11, 76, 92, 960